owner,repo,full_name,input_language,input_license_family,input_spdx,input_stars,api_status,api_html_url,api_license_spdx,api_license_name,api_license_key,api_license_family,api_stars,api_archived,api_disabled,api_created_at,api_updated_at,api_pushed_at,api_default_branch,api_latest_commit_sha
destan19,OpenAppFilter,destan19/OpenAppFilter,C,copyleft,,,ok,https://github.com/destan19/OpenAppFilter,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,2221,False,False,2018-12-13T10:31:33Z,2025-08-27T03:18:13Z,2025-08-17T16:03:24Z,master,e46baf2a191160d69ec021b4682bd9597db37989
bedrocklinux,bedrocklinux-userland,bedrocklinux/bedrocklinux-userland,C,copyleft,,,ok,https://github.com/bedrocklinux/bedrocklinux-userland,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,653,False,False,2014-05-21T16:48:14Z,2025-08-27T07:00:02Z,2024-11-14T22:17:41Z,master,eab5b73acd9370994594f56e3a91e89e98d9ad35
awesometic,realtek-r8125-dkms,awesometic/realtek-r8125-dkms,C,copyleft,,,ok,https://github.com/awesometic/realtek-r8125-dkms,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,524,False,False,2020-06-12T09:45:41Z,2025-08-27T12:15:54Z,2025-08-19T05:01:31Z,master,60c86586fbe22cea7ed660a629e2d1374cc26196
coreutils,coreutils,coreutils/coreutils,C,copyleft,,,ok,https://github.com/coreutils/coreutils,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,4709,False,False,2013-07-07T13:12:29Z,2025-08-27T13:26:21Z,2025-08-27T11:30:36Z,master,cbf6a2781090f0a21253e725f7bfa7528262d084
Aorimn,dislocker,Aorimn/dislocker,C,copyleft,,,ok,https://github.com/Aorimn/dislocker,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,1762,False,False,2012-12-10T18:06:27Z,2025-08-17T11:48:32Z,2025-05-13T04:51:01Z,master,4572dc727940cc42249c9f967cee9c505f16b121
defuse,swatd,defuse/swatd,C,copyleft,,,ok,https://github.com/defuse/swatd,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,874,False,False,2013-06-16T02:12:00Z,2025-07-22T15:01:52Z,2017-01-10T23:29:28Z,master,7c7fe4219eca4659aefb25b54d3a58b89df58f1f
webcamoid,akvcam,webcamoid/akvcam,C,copyleft,,,ok,https://github.com/webcamoid/akvcam,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,659,False,False,2018-08-01T13:48:45Z,2025-08-15T20:31:39Z,2025-07-07T19:56:11Z,master,af8b07d9c85b12442dbd0b286886b002f1ea84e6
suchmememanyskill,TegraExplorer,suchmememanyskill/TegraExplorer,C,copyleft,,,ok,https://github.com/suchmememanyskill/TegraExplorer,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,787,False,False,2019-08-14T19:13:11Z,2025-08-21T00:42:09Z,2024-07-07T17:33:02Z,Lockpick-1.19.10-bdk-upgrade,eea372812721342df37f666a43de12c6489fb762
TalAloni,SMBLibrary,TalAloni/SMBLibrary,C#,copyleft,,,ok,https://github.com/TalAloni/SMBLibrary,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,819,False,False,2016-12-22T18:51:24Z,2025-08-25T23:46:31Z,2025-08-08T03:38:06Z,master,a13d560f9f4f892237035934d1d8419933908e87
eibols,ffmpeg_batch,eibols/ffmpeg_batch,C#,copyleft,,,ok,https://github.com/eibols/ffmpeg_batch,LGPL-2.1,GNU Lesser General Public License v2.1,lgpl-2.1,Weak-copyleft,1227,False,False,2017-10-26T12:57:24Z,2025-08-27T12:56:02Z,2025-08-16T12:34:47Z,master,fd68e220971431844ee1ff4d85f2969329f68a45
chr233,ASFEnhance,chr233/ASFEnhance,C#,copyleft,,,ok,https://github.com/chr233/ASFEnhance,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,673,False,False,2020-11-18T09:59:35Z,2025-08-27T11:46:31Z,2025-08-05T10:27:43Z,master,c21197f97479d7a5351fe00f39eaf7cf029b64ad
koide3,interactive_slam,koide3/interactive_slam,C++,copyleft,,,ok,https://github.com/koide3/interactive_slam,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,906,False,False,2019-10-08T12:41:44Z,2025-08-26T08:50:19Z,2024-08-04T03:08:42Z,master,4e3cb87edc0ab7c735e0aa85e1fd985b2aaa6841
ripose-jp,Memento,ripose-jp/Memento,C++,copyleft,,,ok,https://github.com/ripose-jp/Memento,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,1287,False,False,2020-10-08T22:38:20Z,2025-08-26T00:08:24Z,2025-08-18T03:25:26Z,master,127f58e269cab665bf1b85739ddae22de85a2f3a
IJHack,QtPass,IJHack/QtPass,C++,copyleft,,,ok,https://github.com/IJHack/QtPass,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1071,False,False,2014-07-31T21:07:58Z,2025-08-27T12:06:12Z,2025-07-16T14:15:09Z,main,937779cb3437d39eef720418fc156071f84e91f1
mtytel,vital,mtytel/vital,C++,copyleft,,,ok,https://github.com/mtytel/vital,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1788,False,False,2021-02-10T20:36:35Z,2025-08-27T15:10:24Z,2023-05-25T04:09:10Z,main,636ca0ef517a4db087a6a08a6a8a5e704e21f836
glinscott,leela-chess,glinscott/leela-chess,C++,copyleft,,,ok,https://github.com/glinscott/leela-chess,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,759,False,False,2017-12-30T23:23:25Z,2025-08-22T22:50:36Z,2023-03-25T00:00:07Z,master,481f1de6c0d2ad7f4e27df551ac5fc754e684f69
OpenShot,libopenshot,OpenShot/libopenshot,C++,copyleft,,,ok,https://github.com/OpenShot/libopenshot,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,1394,False,False,2015-03-09T20:26:42Z,2025-08-20T08:58:37Z,2025-08-12T22:46:58Z,develop,7b4e9992428d92edd107d361376019d117e40a21
Yixin-Hu,TetWild,Yixin-Hu/TetWild,C++,copyleft,,,ok,https://github.com/Yixin-Hu/TetWild,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,668,False,False,2018-04-04T20:46:28Z,2025-08-27T10:37:41Z,2023-04-27T19:09:59Z,master,49de8cd85f56de0c6dc7ac3c245a14c3aa68ee67
paolo-projects,auto-unlocker,paolo-projects/auto-unlocker,C++,copyleft,,,ok,https://github.com/paolo-projects/auto-unlocker,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,4549,False,False,2019-10-15T18:58:52Z,2025-08-26T16:12:32Z,2024-08-21T20:10:12Z,master,927d96bf803807d384e99c303cb7f0985a8e9c17
i42output,neoGFX,i42output/neoGFX,C++,copyleft,,,ok,https://github.com/i42output/neoGFX,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,561,False,False,2016-01-17T21:41:19Z,2025-08-23T17:22:24Z,2025-08-23T17:22:21Z,master,9be8c76859f19ce48198359f7b93c68dc0964856
grafov,hulk,grafov/hulk,Go,copyleft,,,ok,https://github.com/grafov/hulk,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,873,False,False,2012-08-24T10:40:27Z,2025-08-27T02:14:35Z,2023-08-03T15:07:43Z,master,ed2b11c1530e03fb872c008fa669a56d767be474
Permify,permify,Permify/permify,Go,copyleft,,,ok,https://github.com/Permify/permify,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,5553,False,False,2022-07-14T11:16:57Z,2025-08-27T13:46:29Z,2025-08-27T13:46:31Z,master,4ce85cd2cdf49546e6dcc6e76ca5e8c08ce3db98
slicebit,qb,slicebit/qb,Go,copyleft,,,ok,https://github.com/slicebit/qb,LGPL-2.1,GNU Lesser General Public License v2.1,lgpl-2.1,Weak-copyleft,515,False,False,2016-01-19T11:55:06Z,2025-05-12T02:54:40Z,2023-11-23T16:55:27Z,master,6bc2ae13ece37358c8795bcf0acd352c735ebf4b
atinylittleshell,gsh,atinylittleshell/gsh,Go,copyleft,,,ok,https://github.com/atinylittleshell/gsh,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,271,False,False,2024-11-26T08:56:11Z,2025-08-09T20:28:19Z,2025-03-22T23:43:41Z,main,9cc2e03bfed23524eee81dde9ca26339ce66a759
veggiedefender,torrent-client,veggiedefender/torrent-client,Go,copyleft,,,ok,https://github.com/veggiedefender/torrent-client,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1963,False,False,2019-12-22T04:13:59Z,2025-08-27T12:21:55Z,2024-08-06T00:28:07Z,master,e0f58e0b16e4a9d1bd889f8cb61d835b8ec13385
vrothberg,vgrep,vrothberg/vgrep,Go,copyleft,,,ok,https://github.com/vrothberg/vgrep,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,687,False,False,2015-03-27T13:35:15Z,2025-08-23T14:50:50Z,2025-08-11T07:46:57Z,main,93db67f3deb2032d07b8b26e7ac6718da36ca73e
bouncepaw,mycorrhiza,bouncepaw/mycorrhiza,Go,copyleft,,,ok,https://github.com/bouncepaw/mycorrhiza,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,346,False,False,2020-06-08T09:30:25Z,2025-08-26T13:38:39Z,2025-07-03T09:01:17Z,master,4cf4d1695f691558e2c13e72612ad8f46bfa8c93
